spec,spec_id,gamma_ebic,wave,trust_stratum,n_cc,context_id,network_id,edge_id,from,to,edge_a,edge_b,sample_weight,boot_mean,boot_sd,ci_low,ci_high,prop_nonzero,n_boot
g05,gamma_05,0.5,55,low,376,ctx_w55_low,net_g05_w55_low,net_g05_w55_low__AFF_WORRY__USE2_HANDWASH20,AFF_WORRY,USE2_HANDWASH20,AFF_WORRY,USE2_HANDWASH20,0,0.0040235558682265036,0.023843786011341753,-0.053139963862010434,0.07084760117846163,0.282,1000
g05,gamma_05,0.5,55,low,376,ctx_w55_low,net_g05_w55_low,net_g05_w55_low__USE2_SPACE150__WORRY_HEALTH_SYSTEM,USE2_SPACE150,WORRY_HEALTH_SYSTEM,USE2_SPACE150,WORRY_HEALTH_SYSTEM,0,0.00919268568484915,0.023836944885429236,-0.010757905504453324,0.07394393855283421,0.352,1000
g05,gamma_05,0.5,56,high,351,ctx_w56_high,net_g05_w56_high,net_g05_w56_high__AFF_FEAR__AFF_WORRY,AFF_FEAR,AFF_WORRY,AFF_FEAR,AFF_WORRY,0.5311444236929834,0.5273308528113584,0.04619923371853825,0.43647327032533795,0.6201798938042724,1,1000
g05,gamma_05,0.5,56,high,351,ctx_w56_high,net_g05_w56_high,net_g05_w56_high__USE2_AVOID__USE2_SPACE150,USE2_AVOID,USE2_SPACE150,USE2_AVOID,USE2_SPACE150,0.261466332588217,0.25367950669798733,0.04970592284004788,0.15613640536288345,0.3447658518017628,1,1000
g05,gamma_05,0.5,56,high,351,ctx_w56_high,net_g05_w56_high,net_g05_w56_high__USE2_MASK__USE2_SPACE150,USE2_MASK,USE2_SPACE150,USE2_MASK,USE2_SPACE150,0.2533734286086674,0.2522118339604164,0.06480361310116074,0.12435110709296433,0.37514211288260124,1,1000
g05,gamma_05,0.5,56,high,351,ctx_w56_high,net_g05_w56_high,net_g05_w56_high__AFF_FEAR__SEVERITY,AFF_FEAR,SEVERITY,AFF_FEAR,SEVERITY,0.18447292932442755,0.17587403328381732,0.04943350413640983,0.08392692494294644,0.27027213721407534,0.999,1000
g05,gamma_05,0.5,56,high,351,ctx_w56_high,net_g05_w56_high,net_g05_w56_high__USE2_HANDWASH20__USE2_MASK,USE2_HANDWASH20,USE2_MASK,USE2_HANDWASH20,USE2_MASK,0.17954494510549457,0.17939099157765429,0.04871012215666767,0.08192055249942433,0.27323636685426306,0.999,1000
g05,gamma_05,0.5,56,high,351,ctx_w56_high,net_g05_w56_high,net_g05_w56_high__USE2_HANDWASH20__USE2_SPACE150,USE2_HANDWASH20,USE2_SPACE150,USE2_HANDWASH20,USE2_SPACE150,0.16746433660043636,0.16391038864823748,0.04873696010970018,0.07240972691380873,0.25672810202679,1,1000
g05,gamma_05,0.5,56,high,351,ctx_w56_high,net_g05_w56_high,net_g05_w56_high__USE2_AVOID__USE2_HANDWASH20,USE2_AVOID,USE2_HANDWASH20,USE2_AVOID,USE2_HANDWASH20,0.1614160941065311,0.15724007661801725,0.0442649218582542,0.07261622864477692,0.24555790331296276,0.999,1000
g05,gamma_05,0.5,56,high,351,ctx_w56_high,net_g05_w56_high,net_g05_w56_high__AFF_FEAR__WORRY_HEALTH_SYSTEM,AFF_FEAR,WORRY_HEALTH_SYSTEM,AFF_FEAR,WORRY_HEALTH_SYSTEM,0.12921511314181774,0.12190458764468051,0.05065302820722091,0.021636957773210865,0.22143697001950063,0.99,1000
