spec,wave,from,to,diff_weight_high_minus_low,abs_diff,n_low,n_high,from_domain,to_domain,from_role,to_role,spec_id,gamma_ebic,thresholded,cor_method,in_kg,comparison_id
g05_spearman,55,USE2_MASK,USE2_HANDWASH20,0.01787386268392499,0.01787386268392499,376,309,behavior,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
g05_spearman,55,AFF_FEAR,AFF_WORRY,-0.017751974094304068,0.017751974094304068,376,309,affect,affect,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
g05_spearman,55,USE2_SPACE150,USE2_AVOID,-0.01640446394656697,0.01640446394656697,376,309,behavior,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
g05_spearman,55,USE2_HANDWASH20,USE2_AVOID,-0.008667505906554004,0.008667505906554004,376,309,behavior,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
g05_spearman,55,SEVERITY,AFF_WORRY,0.007857649909039408,0.007857649909039408,376,309,belief,affect,focal_belief,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
g05_spearman,55,SEVERITY,USE2_HANDWASH20,0.006097760380633296,0.006097760380633296,376,309,belief,behavior,focal_belief,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
g05_spearman,55,AFF_WORRY,USE2_AVOID,0.004604294716896801,0.004604294716896801,376,309,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
g05_spearman,55,AFF_FEAR,WORRY_HEALTH_SYSTEM,2.566386009929811e-4,2.566386009929811e-4,376,309,affect,affect,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
g05_spearman,55,SEVERITY,USE2_MASK,0,0,376,309,belief,behavior,focal_belief,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
g05_spearman,55,AFF_FEAR,USE2_SPACE150,0,0,376,309,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
g05_spearman,56,SEVERITY,AFF_WORRY,-0.1393859742411029,0.1393859742411029,383,351,belief,affect,focal_belief,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w56_high_minus_low
g05_spearman,56,USE2_MASK,USE2_AVOID,-0.13095550723739885,0.13095550723739885,383,351,behavior,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w56_high_minus_low
g05_spearman,56,AFF_WORRY,USE2_MASK,-0.120958932741573,0.120958932741573,383,351,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w56_high_minus_low
g05_spearman,56,WORRY_HEALTH_SYSTEM,USE2_HANDWASH20,0.112993671753183,0.112993671753183,383,351,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w56_high_minus_low
g05_spearman,56,SEVERITY,AFF_FEAR,-0.094649788014698,0.094649788014698,383,351,belief,affect,focal_belief,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w56_high_minus_low
g05_spearman,56,SEVERITY,USE2_SPACE150,0.0852825860087156,0.0852825860087156,383,351,belief,behavior,focal_belief,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w56_high_minus_low
g05_spearman,56,WORRY_HEALTH_SYSTEM,USE2_MASK,0.0833073686622762,0.0833073686622762,383,351,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w56_high_minus_low
g05_spearman,56,AFF_WORRY,USE2_AVOID,0.0726588395633539,0.0726588395633539,383,351,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w56_high_minus_low
g05_spearman,56,SEVERITY,USE2_HANDWASH20,0.0678780483034123,0.0678780483034123,383,351,belief,behavior,focal_belief,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w56_high_minus_low
g05_spearman,56,AFF_FEAR,WORRY_HEALTH_SYSTEM,-0.05586660414905881,0.05586660414905881,383,351,affect,affect,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w56_high_minus_low
g05_spearman,56,USE2_SPACE150,USE2_AVOID,-0.054786923866377985,0.054786923866377985,383,351,behavior,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w56_high_minus_low
g05_spearman,56,USE2_SPACE150,USE2_HANDWASH20,-0.05433780075701,0.05433780075701,383,351,behavior,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w56_high_minus_low
g05_spearman,56,SEVERITY,WORRY_HEALTH_SYSTEM,-0.051081996182795006,0.051081996182795006,383,351,belief,affect,focal_belief,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w56_high_minus_low
