spec,wave,trust_stratum,n_cc,node,node_id,degree,strength,spec_id,gamma_ebic,thresholded,cor_method,in_kg,context_id,network_id,domain,role
g05_spearman,57,high,407,USE2_SPACE150,USE2_SPACE150,4,0.33641977643062904,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w57_high,net_g05_spearman_w57_high,behavior,non_focal
g05_spearman,57,high,407,SEVERITY,SEVERITY,2,0.3146524110365,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w57_high,net_g05_spearman_w57_high,belief,focal_belief
g05_spearman,57,low,336,AFF_FEAR,AFF_FEAR,4,0.781380163651889,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w57_low,net_g05_spearman_w57_low,affect,non_focal
g05_spearman,57,low,336,AFF_WORRY,AFF_WORRY,6,1.114516812106564,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w57_low,net_g05_spearman_w57_low,affect,non_focal
g05_spearman,57,low,336,WORRY_HEALTH_SYSTEM,WORRY_HEALTH_SYSTEM,5,0.6684712627065369,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w57_low,net_g05_spearman_w57_low,affect,non_focal
g05_spearman,57,low,336,USE2_AVOID,USE2_AVOID,7,0.8185530832023087,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w57_low,net_g05_spearman_w57_low,behavior,non_focal
g05_spearman,57,low,336,USE2_HANDWASH20,USE2_HANDWASH20,3,0.698916579840596,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w57_low,net_g05_spearman_w57_low,behavior,non_focal
g05_spearman,57,low,336,USE2_MASK,USE2_MASK,5,0.7947278968568882,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w57_low,net_g05_spearman_w57_low,behavior,non_focal
g05_spearman,57,low,336,USE2_SPACE150,USE2_SPACE150,5,0.8796854016274249,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w57_low,net_g05_spearman_w57_low,behavior,non_focal
g05_spearman,57,low,336,SEVERITY,SEVERITY,5,0.5063652757612013,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w57_low,net_g05_spearman_w57_low,belief,focal_belief
g05_thr,55,high,309,AFF_FEAR,AFF_FEAR,3,0.99100988113361,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w55_high,net_g05_thr_w55_high,affect,non_focal
g05_thr,55,high,309,AFF_WORRY,AFF_WORRY,1,0.596641701974303,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w55_high,net_g05_thr_w55_high,affect,non_focal
g05_thr,55,high,309,WORRY_HEALTH_SYSTEM,WORRY_HEALTH_SYSTEM,1,0.179415582009043,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w55_high,net_g05_thr_w55_high,affect,non_focal
g05_thr,55,high,309,USE2_AVOID,USE2_AVOID,2,0.392176704467761,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w55_high,net_g05_thr_w55_high,behavior,non_focal
