spec,wave,from,to,diff_weight_high_minus_low,abs_diff,n_low,n_high,from_domain,to_domain,from_role,to_role,spec_id,gamma_ebic,thresholded,cor_method,in_kg,comparison_id
g05_spearman,57,AFF_WORRY,USE2_HANDWASH20,0,0,336,407,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w57_high_minus_low
g05_thr,55,SEVERITY,USE2_SPACE150,0.168294033740989,0.168294033740989,376,309,belief,behavior,focal_belief,non_focal,gamma_05_thr,0.5,TRUE,pearson,FALSE,diff_g05_thr_w55_high_minus_low
g05_thr,55,WORRY_HEALTH_SYSTEM,USE2_HANDWASH20,-0.15918239310087,0.15918239310087,376,309,affect,behavior,non_focal,non_focal,gamma_05_thr,0.5,TRUE,pearson,FALSE,diff_g05_thr_w55_high_minus_low
g05_thr,55,SEVERITY,USE2_AVOID,0.142459760904957,0.142459760904957,376,309,belief,behavior,focal_belief,non_focal,gamma_05_thr,0.5,TRUE,pearson,FALSE,diff_g05_thr_w55_high_minus_low
g05_thr,55,WORRY_HEALTH_SYSTEM,USE2_MASK,-0.141377361459471,0.141377361459471,376,309,affect,behavior,non_focal,non_focal,gamma_05_thr,0.5,TRUE,pearson,FALSE,diff_g05_thr_w55_high_minus_low
g05_thr,55,AFF_FEAR,USE2_AVOID,-0.124298205801402,0.124298205801402,376,309,affect,behavior,non_focal,non_focal,gamma_05_thr,0.5,TRUE,pearson,FALSE,diff_g05_thr_w55_high_minus_low
g05_thr,55,SEVERITY,USE2_MASK,0,0,376,309,belief,behavior,focal_belief,non_focal,gamma_05_thr,0.5,TRUE,pearson,FALSE,diff_g05_thr_w55_high_minus_low
g05_thr,55,AFF_FEAR,USE2_MASK,0,0,376,309,affect,behavior,non_focal,non_focal,gamma_05_thr,0.5,TRUE,pearson,FALSE,diff_g05_thr_w55_high_minus_low
g05_thr,55,AFF_WORRY,USE2_MASK,0,0,376,309,affect,behavior,non_focal,non_focal,gamma_05_thr,0.5,TRUE,pearson,FALSE,diff_g05_thr_w55_high_minus_low
g05_thr,55,AFF_FEAR,USE2_SPACE150,0,0,376,309,affect,behavior,non_focal,non_focal,gamma_05_thr,0.5,TRUE,pearson,FALSE,diff_g05_thr_w55_high_minus_low
g05_thr,55,AFF_WORRY,USE2_SPACE150,0,0,376,309,affect,behavior,non_focal,non_focal,gamma_05_thr,0.5,TRUE,pearson,FALSE,diff_g05_thr_w55_high_minus_low
g05_thr,55,WORRY_HEALTH_SYSTEM,USE2_SPACE150,0,0,376,309,affect,behavior,non_focal,non_focal,gamma_05_thr,0.5,TRUE,pearson,FALSE,diff_g05_thr_w55_high_minus_low
g05_thr,55,SEVERITY,USE2_HANDWASH20,0,0,376,309,belief,behavior,focal_belief,non_focal,gamma_05_thr,0.5,TRUE,pearson,FALSE,diff_g05_thr_w55_high_minus_low
g05_thr,55,AFF_FEAR,USE2_HANDWASH20,0,0,376,309,affect,behavior,non_focal,non_focal,gamma_05_thr,0.5,TRUE,pearson,FALSE,diff_g05_thr_w55_high_minus_low
g05_thr,55,AFF_WORRY,USE2_HANDWASH20,0,0,376,309,affect,behavior,non_focal,non_focal,gamma_05_thr,0.5,TRUE,pearson,FALSE,diff_g05_thr_w55_high_minus_low
g05_thr,55,AFF_WORRY,USE2_AVOID,0,0,376,309,affect,behavior,non_focal,non_focal,gamma_05_thr,0.5,TRUE,pearson,FALSE,diff_g05_thr_w55_high_minus_low
g05_thr,55,WORRY_HEALTH_SYSTEM,USE2_AVOID,0,0,376,309,affect,behavior,non_focal,non_focal,gamma_05_thr,0.5,TRUE,pearson,FALSE,diff_g05_thr_w55_high_minus_low
